platform,status_code,selector_used,review_blocks_found,sample_review_1,sample_review_2,sample_review_3
Google Play,200,div[data-g-id='reviews'] > div:has(> header[data-review-id]),3,"Deagan Bailey more_vert Flag inappropriate March 10, 2026 Personally, I don't understand why you have to double down on the free version of the app with a bunch of ads AND limited song choices. That's overkill and it makes this app hardly even usable for longer than 20 minutes before it devolves into music that's vaguely related to the stuff you chose to listen to. It's great when you spend money, but that's by design. Y'all make enough money to give us more than 6 skips... I mean, c'mon. 51 people found this review helpful Did you find this helpful? Yes No","Ryan Yokel more_vert Flag inappropriate February 27, 2026 Edit 2/27/26: Something seems to have changed in the last few weeks. I listen a lot, probably 4-5 hours a day while I do renovation work and every time I open the app it shows a ""you are back online"" message and it takes 2-3 minutes to load up all the recommendations and personalization stuff. Most of the time I am connected to high quality Wi-Fi or 5G networks. it's definitely not a connection issue since it happens everywhere I go. It's a music app so it's not critical, but still. 54 people found this review helpful Did you find this helpful? Yes No","CM more_vert Flag inappropriate Show review history April 13, 2026 So they finally gave the option to disable smart shuffle, I can rate Spotify more than 1 star now. Always loved Spotify, and just hated that smart shuffle. It would be amazing if y'all could add a way to let us know when a song is removed from a playlist. I just recently went through and noticed multiple songs that weren't there anymore. Assumably due to them being removed off Spotify. If there was something that showed us what songs got removed, we could easily look for a replacement. 43 people found this review helpful Did you find this helpful? Yes No"
Apple App Store,200,div[aria-labelledby^='review-'],8,"Favorite app ever 11/26/2024 l.lacx I personally love this app. I have had it for over 4 years, and it’s been an app I use daily. If you are thinking about getting it, for sure get the Premium plan, no ads, endless skipping of songs, shuffle play, and a good amount of more things. One thing I will say is frustrating is the constant change of the like button to songs, they removed the heart for whatever reason and with that they made adding a song to a playlist but not your liked songs a lot harder, with a drop down feature you have to scroll down to find the playlist you want. I will say that I love that you can get to choose if you want your playlists public or not because let's be honest some playlists do not need to see the light of day but can still be enjoyed in peace. I also like what they did with the front page, being able to just swipe right to click onto our profile and access our settings much easier. My most favorite feature that might not be new but I did just discover, is on that same page where we access the settings and our profile there is this “Recents” tab where you can go and see all of the songs you’ve listened to and the amount of times I’ve used it to find a song I liked in someone else's playlist, or a podcast episode I was listening to but didn’t save, my lord I love that feature so much. But overall it’s a really good app and something that if you get it, it will be used in your daily life if you are a fanatic music listener.","11/26/2024 l.lacx I personally love this app. I have had it for over 4 years, and it’s been an app I use daily. If you are thinking about getting it, for sure get the Premium plan, no ads, endless skipping of songs, shuffle play, and a good amount of more things. One thing I will say is frustrating is the constant change of the like button to songs, they removed the heart for whatever reason and with that they made adding a song to a playlist but not your liked songs a lot harder, with a drop down feature you have to scroll down to find the playlist you want. I will say that I love that you can get to choose if you want your playlists public or not because let's be honest some playlists do not need to see the light of day but can still be enjoyed in peace. I also like what they did with the front page, being able to just swipe right to click onto our profile and access our settings much easier. My most favorite feature that might not be new but I did just discover, is on that same page where we access the settings and our profile there is this “Recents” tab where you can go and see all of the songs you’ve listened to and the amount of times I’ve used it to find a song I liked in someone else's playlist, or a podcast episode I was listening to but didn’t save, my lord I love that feature so much. But overall it’s a really good app and something that if you get it, it will be used in your daily life if you are a fanatic music listener.","Stop changing the queue!!!!! 12/29/2022 I_am_theSquirrel Stop changing the way the queue works every single time I use this app! I swear Im this close to subscribing to apple music 👌. Just let me keep the option to play my liked songs randomly or not. Also why did I suddenly lose the option to play my liked songs based on genre?! You guys are killing me with the constant changes. Heres what the people want! To be able to play my liked songs randomly or in or order!!! I like the option sometimes! I also still want to be able to sort my liked songs by genre. Why did that suddenly go away!? I used to like the way you could channel what you want based your mood ‘like “happy”’ and whatnot but whatever, I could deal with the changes you made for whatever reason. Can you please stop changing the way liked songs work every single time I use this app!!!! Its so frustrating when I cant play my liked songs randomly all of a sudden and now I cant play my liked based on genre. FOR WHAT REASON!!!!! Stop making stupid changes all the time! You’re pushing your people to apple music, I swear. I have subscriptions to you both but I still dont want to start using them over you, but I will. All I ask for is some consistency!! I want to be able to play my liked songs by genre, and I want to be able to consistently play my liked songs randomly or in order. I dont know why you change these all the time but you are really pushing to start using apple music or even soundcloud. Keep the consistent good features, and stop changing for the worse all the time!"
Amazon,200,,0,,,
